sym,uniprot,tdl,protein_id
,A8MT66,Tdark,19287
,Q96IR3,Tdark,19288
,Q8N402,Tdark,19289
,Q6ZRP5,Tdark,19293
,A8MXE2,Tdark,19297
,Q8NDZ9,Tdark,19298
,Q6ZRN7,Tdark,19302
,A8MU76,Tdark,19303
,Q5W150,Tdark,19308
,Q8N1X5,Tdark,19312
,Q6ZSV7,Tdark,19313
,Q71RG6,Tdark,19316
,Q6ZSN1,Tdark,19318
,Q5PR19,Tdark,19319
LINC00173,Q6ZV60,Tdark,19321
,Q9UF83,Tdark,19322
,Q6ZVL8,Tdark,19324
,Q6ZT83,Tdark,19328
,Q6ZVQ6,Tdark,19329
SMIM34A,A8MWV9,Tdark,19334
ZFHX2,Q9C0A1,Tdark,19366
ZDHHC16,Q969W1,Tdark,19390
ZNF595,Q8IYB9,Tdark,19458
ZNF8,P17098,Tdark,19516
,Q8N2B8,Tdark,19537
,Q1RN00,Tdark,19539
,Q9UI72,Tdark,19541
,Q6ZNX1,Tdark,19542
,Q9UHT4,Tdark,19543
,Q8N814,Tdark,19544
,A8MV72,Tdark,19545
C9orf163,Q96NJ1,Tdark,19546
,Q8TAT8,Tdark,19553
,Q0VFX4,Tdark,19555
,Q6UXQ8,Tdark,19557
,Q8N9W7,Tdark,19558
,Q6ZQY7,Tdark,19559
,Q96MF0,Tdark,19560
,Q9UI25,Tdark,19561
,A8MWP6,Tdark,19563
,Q6ZRU5,Tdark,19564
,A8MUN3,Tdark,19565
,Q6ZVU0,Tdark,19566
,Q6ZTI0,Tdark,19567
,Q8IYB0,Tdark,19568
,Q3C1V9,Tdark,19569
,Q6ZUT4,Tdark,19570
,Q96M85,Tdark,19574
ZMYM1,Q5SVZ6,Tdark,19606
ZNF658,Q5TYW1,Tbio,19679
ZNF670,Q9BS34,Tdark,19680
ZNF718,Q3SXZ3,Tdark,19693
ZNF888,P0CJ79,Tdark,19711
,Q8NAQ8,Tdark,19715
,Q6UXR8,Tdark,19716
ZNF705E,A8MWA4,Tdark,19721
ZNF229,Q9UJW7,Tdark,19755
ZNF542P,Q5EBM4,Tdark,19808
ZNF761,Q86XN6,Tdark,19835
ZNF806,P0C7X5,Tdark,19847
ZNF56,Q15929,Tdark,19871
ZNHIT3,Q15649,Tbio,19877
,A8MVM7,Tdark,19888
,Q9H379,Tdark,19889
,Q9BRP9,Tdark,19892
,A1L4Q6,Tdark,19893
,A6NDX4,Tdark,19896
,A8MX80,Tdark,19904
,Q9P1D8,Tdark,19906
,Q8N6K4,Tdark,19907
,Q6UXU0,Tdark,19910
,Q6ZSA8,Tdark,19911
,Q6ZR03,Tdark,19912
,Q8N9L7,Tdark,19913
ZBED6CL,Q96FA7,Tdark,19914
ZCCHC23,Q6ZST2,Tdark,19929
,Q8N377,Tdark,19973
,Q9UFV3,Tdark,19975
,Q96M66,Tdark,19978
,A8MXK9,Tdark,19981
,Q6ZWC4,Tdark,19984
,A8MWP4,Tdark,19987
ZCCHC18,P0CG32,Tdark,19989
ZNF815P,A8K554,Tdark,20033
ZNF840P,A6NDX5,Tdark,20038
ZNF2,Q9BSG1,Tbio,20053
ZSCAN5DP,P0CG00,Tdark,20072
ZSWIM1,Q9BR11,Tdark,20080
