sym,uniprot,tdl,protein_id
FAM231C,P0DMU5,Tdark,5990
FAM90A8P,A6NJQ4,Tdark,5995
FAM90A14P,P0C7W9,Tdark,5996
FAM90A15P,P0C7V4,Tdark,5997
FAM90A24P,P0C7X0,Tdark,5998
LINC00869,P0C866,Tdark,5999
FAM45BP,Q6NSW5,Tdark,6004
FAM74A4,Q5TZK3,Tdark,6018
FER1L6-AS2,Q96M78,Tdark,6041
FAM205C,A6NFA0,Tdark,6112
FAM217A,Q8IXS0,Tdark,6118
FAM220A,Q7Z4H9,Tdark,6119
FAM227A,F5H4B4,Tdark,6121
FAM71B,Q8TC56,Tdark,6124
FKBP9P1,Q75LS8,Tdark,6151
FMO6P,O60774,Tdark,6178
FNDC10,F2Z333,Tdark,6181
GAL3ST2,Q9H3Q3,Tbio,6214
GAGE1,Q13065,Tbio,6221
ERVK-9,P63126,Tdark,6222
ERVK-24,P63145,Tdark,6323
FOLH1B,Q9HBA9,Tbio,6336
ERVK-10,P87889,Tdark,6368
GATC,O43716,Tbio,6381
FOXL2NB,Q6ZUU3,Tdark,6402
FADS2P1,A8MWK0,Tdark,6411
FAM25E,A8MYX2,Tdark,6417
FER1L4,A9Z1Z3,Tdark,6432
FRMD8P1,Q9BZ68,Tdark,6435
SLC37A4,O43826,Tchem,6449
HERVK_113,P62684,Tdark,6451
GAFA1,Q96PS6,Tdark,6452
GAGE2E,Q4V326,Tdark,6454
ERVK-6,Q7LDI9,Tdark,6456
GNG14,A0A1W2PPG7,Tdark,6472
GOLGA6L4,A6NEF3,Tdark,6506
GGNBP2,Q9H3C7,Tbio,6510
FOXD4L6,Q3SYB3,Tdark,6526
FBXL21,Q9UKT6,Tdark,6530
FXYD6P3,P58550,Tdark,6533
GPR32P1,Q8NGA4,Tdark,6535
GAGE4,Q13068,Tdark,6546
ERVK-5,Q9HDB9,Tdark,6548
GCRG224,Q8WZA8,Tdark,6564
GOLGA6L22,H0YM25,Tdark,6575
GAGE6,Q13070,Tdark,6585
GLB1L3,Q8NCI6,Tdark,6617
GLTPD2,A6NH11,Tdark,6631
GOLGA8A,A7E2F4,Tbio,6652
GOLGA8IP,A6NC78,Tdark,6715
GOLGA8R,I6L899,Tdark,6716
GSTT2,P0CG29,Tbio,6756
GXYLT1,Q4G148,Tdark,6769
GXYLT2,A0PJZ3,Tdark,6770
GOLGA6L10,A6NI86,Tdark,6802
GAGE2D,Q9UEU5,Tdark,6803
GGT3P,A6NGU5,Tdark,6808
GGTA1P,Q4G0N0,Tdark,6811
TUBGCP5,Q96RT8,Tbio,6832
GINM1,Q9NU53,Tdark,6836
GKN3P,P0CG01,Tdark,6842
GLYCAM1,Q8IVK1,Tdark,6844
GLMP,Q8WWB7,Tdark,6850
GRIP2,Q9C0E4,Tdark,6878
GPANK1,O95872,Tbio,6900
GTF2I,P78347,Tbio,6931
GCNT2P,Q5T4J0,Tdark,6958
GOLGA6B,A6NDN3,Tdark,7001
GSG1L2,A8MUP6,Tdark,7016
GAGE12G,P0CL82,Tbio,7037
GOLGA6L1,Q8N7Z2,Tdark,7038
GOLGA2P5,Q9HBQ8,Tdark,7040
GK3P,Q14409,Tdark,7046
,P02729,Tdark,7054
GLYATL2,Q8WU03,Tbio,7055
GON4L,Q3T8J9,Tbio,7062
GON7,Q9BXV9,Tdark,7063
,P02728,Tdark,7073
HIST1H2AJ,Q99878,Tdark,7119
HSP90AB4P,Q58FF6,Tdark,7127
HEXA-AS1,Q9H8Q6,Tdark,7139
HEATR9,A2RTY3,Tdark,7141
GOLGA8CP,A6NN73,Tdark,7153
GOLGA8H,P0CJ92,Tdark,7155
GOLGA8O,A6NCC3,Tdark,7157
GP1BB,P13224,Tbio,7173
GPAT2,Q6NUI2,Tbio,7175
POLR2M,P0CAP2,Tbio,7201
H2AFB3,P0C5Z0,Tdark,7208
HCP5,Q6MZN7,Tdark,7227
MTRNR2L13,S4R3P1,Tdark,7249
MTRNR2L7,P0CJ74,Tdark,7251
HMSD,A8MTL9,Tdark,7254
GSC,P56915,Tbio,7264
GUCD1,Q96NT3,Tdark,7278
GVQW2,A0A096LPI5,Tdark,7280
GVINP1,Q7Z2Y8,Tdark,7313
GVQW1,Q8N7I0,Tdark,7314
HMGB1P1,B2RPK0,Tdark,7355
GSC2,O15499,Tbio,7373
HSP90AB2P,Q58FF8,Tdark,7418
HSP90AB3P,Q58FF7,Tdark,7419
N6AMT1,Q9Y5N5,Tbio,7432
HEPN1,Q6WQI6,Tdark,7446
HILS1,P60008,Tbio,7460
MTRNR2L2,P0CJ69,Tdark,7475
MTRNR2L10,P0CJ77,Tdark,7498
IGHV1-24,A0A0C4DH33,Tdark,7524
IGHV4-30-2,A0A087WSY4,Tdark,7527
IGHV7-4-1,A0A0J9YVY3,Tdark,7531
IGHV4-30-4,P0DP06,Tdark,7532
HYAL1,Q12794,Tbio,7536
ICA1L,Q8NDH6,Tdark,7539
HSPA7,P48741,Tbio,7592
IGHV3-21,A0A0B4J1V1,Tdark,7716
C19orf38,A8MVS5,Tdark,7731
HLA-H,P01893,Tbio,7736
HERC2P3,Q9BVR0,Tdark,7755
HSP90AA2P,Q14568,Tbio,7763
HSP90AA5P,Q58FG0,Tdark,7764
HSFX3,A0A1B0GWH4,Tdark,7766
IGHV1-69D,A0A0B4J2H0,Tdark,7817
IGHV3-30-3,P0DP02,Tdark,7818
IGHV1-18,A0A0C4DH31,Tdark,7852
IGHV3-30-5,P0DP03,Tdark,7857
IGHV3-66,A0A0C4DH42,Tdark,7858
IGHV3-73,A0A0B4J1V6,Tdark,7859
IGHV4-31,P0DP07,Tdark,7860
HYPM,O75409,Tdark,7878
IL13RA2,Q14627,Tbio,7882
EIF1AY,O14602,Tbio,7897
IGF2BP2-AS1,Q96M15,Tdark,7902
,P0DOX3,Tbio,7910
IGF2-AS,Q6U949,Tdark,7947
,P0DOX5,Tdark,7950
FAM212B,Q9NTI7,Tdark,7975
PPP1R2B,Q6NXS1,Tdark,7989
IFNL4,K9M1U5,Tbio,8030
,P0DOX4,Tdark,8037
INAFM1,C9JVW0,Tdark,8060
SPINK7,P58062,Tbio,8081
JMY,Q8N9B5,Tbio,8108
KBTBD7,Q8WVZ9,Tdark,8147
TOR1AIP2,Q9H496,Tdark,8183
KIAA1024,Q9UPX6,Tdark,8279
KCNE1B,A0A087WTH5,Tdark,8306
KCNJ18,B7U540,Tdark,8310
KIF28P,B7ZC32,Tdark,8349
KIAA1024L,P59773,Tdark,8377
KIAA0895L,Q68EN5,Tdark,8383
INAFM2,P0DMQ5,Tdark,8480
INCA1,Q0VD86,Tbio,8482
IQCF1,Q8N6M8,Tdark,8520
ISY1,Q9ULR0,Tdark,8554
JRK,O75564,Tbio,8567
KRT75,O95678,Tbio,8582
IGHV1-8,P0DP01,Tdark,8608
IGHV2-26,A0A0B4J1V2,Tdark,8609
IGHV3-20,A0A0C4DH32,Tdark,8613
IGHV3-43,A0A0B4J1X8,Tdark,8616
IGHV3-49,A0A0A0MS15,Tdark,8617
IGHV3-64,A0A075B6Q5,Tdark,8618
IGHV3-74,A0A0B4J1X5,Tdark,8619
IGHV4-28,A0A0C4DH34,Tdark,8620
IL17RD,Q8NFM7,Tbio,8633
IBA57-AS1,B1ANH7,Tdark,8638
IGSF23,A1L1A6,Tdark,8655
IL20,Q9NYY1,Tbio,8660
PPP1R2C,O14990,Tdark,8676
INE1,O15225,Tdark,8693
INTS5,Q6P9B9,Tdark,8696
PPP1R2P1,Q96PQ5,Tdark,8702
IQCM,A0A1B0GVH7,Tdark,8708
KIAA0408,Q6ZU52,Tdark,8734
KBTBD6,Q86V97,Tdark,8762
KRTAP10-3,P60369,Tdark,8833
KRTAP20-1,Q3LI63,Tdark,8836
KRTAP20-3,Q3LI60,Tdark,8837
KRTAP23-1,A1A580,Tdark,8838
KRTAP5-11,Q6L8G4,Tdark,8839
KRTAP5-3,Q6L8H2,Tdark,8845
KRTAP5-4,Q6L8H1,Tdark,8846
KRTAP5-5,Q701N2,Tdark,8847
KRTAP5-7,Q6L8G8,Tdark,8848
KRTAP9-3,Q9BYQ3,Tdark,8853
KRTAP9-9,Q9BYP9,Tdark,8855
IGKV2-29,A2NJV5,Tdark,8862
CLC,Q05315,Tbio,8869
LKAAEAR1,Q8TD35,Tdark,8893
KLLN,B2CW77,Tbio,8982
KRTAP10-4,P60372,Tdark,8998
KRTAP10-11,P60412,Tdark,9000
KRTAP15-1,Q3LI76,Tdark,9004
KRTAP25-1,Q3LHN0,Tdark,9010
KRTAP1-3,Q8IUG1,Tdark,9014
KLKP1,Q107X0,Tdark,9020
KRTCAP2,Q8N6L1,Tbio,9026
IGKV2-40,A0A087WW87,Tdark,9033
LCE6A,A0A183,Tdark,9057
PNLIPRP2,P54317,Tbio,9100
LILRA3,Q8N6C8,Tbio,9102
LDLRAD2,Q5SZI1,Tdark,9116
LCN1P1,Q5VSP4,Tdark,9150
LCE1D,Q5T752,Tbio,9152
LCE2A,Q5TA79,Tdark,9153
LCE2C,Q5TA81,Tdark,9154
LCE3B,Q5TA77,Tbio,9155
LCE5A,Q5TCM9,Tdark,9157
LEXM,Q3ZCV2,Tbio,9162
LIX1L,Q8IVB5,Tdark,9181
KIR2DL5B,Q8NHK3,Tdark,9192
KIR2DS2,P43631,Tdark,9194
KIR2DS4,P43632,Tdark,9195
KIR2DS5,Q14953,Tdark,9196
KIR3DP1,A8MWS1,Tdark,9198
KIR3DS1,Q14943,Tbio,9199
KIRREL3-AS3,Q8N7Y1,Tdark,9200
KRTAP10-6,P60371,Tdark,9235
KRTAP10-7,P60409,Tdark,9236
KRTAP12-1,P59990,Tdark,9238
KRTAP12-2,P59991,Tdark,9239
KRTAP13-1,Q8IUC0,Tdark,9240
KRTAP19-3,Q7Z4W3,Tdark,9243
KRTAP1-4,P0C5Y4,Tdark,9246
KRTAP4-1,Q9BYQ7,Tdark,9251
KRTAP4-6,Q9BYQ5,Tdark,9254
KRTAP6-1,Q3LI64,Tdark,9259
KRTAP6-2,Q3LI66,Tdark,9260
KRTAP9-7,A8MTY7,Tdark,9262
LINC00312,Q9Y6C7,Tdark,9270
LAMC2,Q13753,Tbio,9277
LLCFC1,Q96L11,Tdark,9298
KPTN,Q9Y664,Tbio,9307
KRTAP12-3,P60328,Tdark,9312
KRTAP16-1,A8MUX0,Tdark,9314
KRTAP19-1,Q8IUB9,Tdark,9316
KRTAP19-6,Q3LI70,Tdark,9317
KRTAP21-3,Q3LHN1,Tdark,9318
KRTAP22-1,Q3MIV0,Tdark,9319
KRTAP4-12,Q9BQ66,Tdark,9323
KRTAP2-4,Q9BYR9,Tdark,9326
KRT83,P78385,Tbio,9335
C18orf54,Q8IYD9,Tbio,9360
TMBIM4,Q9HC24,Tbio,9370
PQLC2,Q6ZP29,Tdark,9391
LACRT,Q9GZZ8,Tbio,9392
BPIFA4P,Q86YQ2,Tdark,9414
LBX2,Q6XYB7,Tbio,9419
KIAA1147,A4D1U4,Tdark,9420
KRTCAP3,Q53RY4,Tdark,9451
KIR3DX1,Q9H7L2,Tdark,9466
KRT37,O76014,Tdark,9509
LUZP6,Q538Z0,Tdark,9570
IGLV2-8,P01709,Tdark,9574
LYPD4,Q6UWN0,Tbio,9594
MAB21L2,Q9Y586,Tbio,9616
MAB21L3,Q8N8X9,Tdark,9617
MEA1,Q16626,Tbio,9639
MEIS3,Q99687,Tbio,9650
METTL24,Q5JXM2,Tdark,9659
MS4A10,Q96PG2,Tdark,9693
MAIP1,Q8WWC4,Tdark,9715
PMCHL2,Q9BQD1,Tdark,9745
MDFIC2,A0A1B0GVS7,Tdark,9754
IGLV5-39,A0A0G2JS06,Tdark,9769
LYPD8,Q6UX82,Tdark,9776
MS4A13,Q5J8X5,Tdark,9783
MAGEA5,P43359,Tdark,9790
LTC4S,Q16873,Tchem,9826
MASP1,P48740,Tbio,9872
MAGEB17,A8MXT2,Tdark,9902
PMCHL1,Q16048,Tdark,9938
MDS2,Q8NDY4,Tdark,9951
LYSMD2,Q8IV50,Tdark,10017
MAGEA13P,A6NCF6,Tdark,10028
MBD3L5,A6NJ08,Tdark,10048
L1RE1,Q9UN81,Tbio,10056
LDLRAD1,Q5T700,Tdark,10066
LRRC24,Q50LG9,Tdark,10072
MARCH8,Q5T0T0,Tbio,10144
C1orf56,Q9BUN1,Tdark,10169
MINDY1,Q8N5J2,Tbio,10186
MIR1-1HG,Q9H1L0,Tdark,10187
MITD1,Q8WV92,Tbio,10200
MMP21,Q8N119,Tbio,10214
MPZL2,O60487,Tbio,10236
METTL16,Q86W50,Tbio,10239
METTL7B,Q6UX53,Tbio,10241
MFSD11,O43934,Tdark,10247
MFSD12,Q6NUT3,Tdark,10248
MFSD6L,Q8IWD5,Tdark,10250
MIEF1,L0R8F8,Tbio,10265
MPC1L,P0DKB6,Tdark,10285
MINDY4B,A8MYZ0,Tdark,10299
MRFAP1L1,Q96HT8,Tdark,10338
MFSD13A,Q14CX5,Tdark,10360
MGAT3,Q09327,Tchem,10367
MIER1,Q8N108,Tbio,10376
KIAA0753,Q2KHM9,Tdark,10419
MINDY4,Q4G0A6,Tdark,10465
MKRN9P,Q6NVV0,Tdark,10473
MOCS2,O96007,Tbio,10501
MRGPRG-AS1,Q2M3A8,Tdark,10506
MROH5,Q6ZUA9,Tdark,10509
MSGN1,A6NI15,Tbio,10513
MEGF9,Q9H1U4,Tdark,10526
MEIKIN,A0A087WXM9,Tdark,10527
MFSD14C,Q5VZR4,Tdark,10537
SLC25A28,Q96A46,Tbio,10540
MFSD1,Q9H3U5,Tdark,10543
MIER2,Q8N344,Tbio,10551
MIGA1,Q8NAN2,Tbio,10553
MZT2B,Q6NZ67,Tdark,10569
N4BP2L2,Q92802,Tbio,10570
NAA15,Q9BXJ9,Tbio,10572
NLRP13,Q86W25,Tdark,10579
NLRP8,Q86W28,Tdark,10585
NANOS1,Q8WY41,Tbio,10586
NBPF9,Q3BBW0,Tdark,10596
NBPF14,Q5TI25,Tdark,10598
NBPF15,Q8N660,Tdark,10599
NBPF26,B4DH59,Tdark,10601
MSC,O60682,Tbio,10613
MYH16,Q9H6N6,Tbio,10623
MZT1,Q08AG7,Tdark,10644
NACC2,Q96BF6,Tbio,10648
NAALADL2,Q58DX5,Tdark,10650
NAGS,Q8N159,Tbio,10653
NAT14,Q8WUY8,Tbio,10661
NAT8L,Q8N9F0,Tbio,10663
NAT8,Q9UHE5,Tbio,10664
PMP2,P02689,Tbio,10695
MYBPC1,Q00872,Tbio,10696
NAA16,Q6N069,Tbio,10700
NAB1,Q13506,Tbio,10702
NACA,Q13765,Tbio,10704
QPRT,Q15274,Tbio,10705
MSMP,Q1L6U9,Tdark,10707
METTL21EP,A6NDL7,Tdark,10716
MYOCOS,A0A1B0GUC4,Tdark,10725
MYCLP1,P12525,Tdark,10726
MYT1,Q01538,Tchem,10735
N4BP3,O15049,Tdark,10738
NAA30,Q147X3,Tbio,10739
NAA40,Q86UY6,Tbio,10740
NACAP1,Q9BZK3,Tdark,10744
EXD3,Q9NX53,Tdark,10746
MYO15B,Q96JP2,Tdark,10750
MYCL,P12524,Tbio,10756
PDE4DIP,Q5VU43,Tbio,10773
MYBPC2,Q14324,Tbio,10779
NAA11,Q9BSU3,Tbio,10783
NAA35,Q5VZE5,Tbio,10786
NAB2,Q15742,Tbio,10787
NLRP4,Q96MN2,Tbio,10792
ART5,Q96L15,Tbio,10795
NARF,Q9UHQ1,Tbio,10796
NCEH1,Q6PIU2,Tchem,10808
NBPF3,Q9H094,Tdark,10829
NBPF12,Q5TAG4,Tdark,10830
DR1,Q01658,Tbio,10832
NCMAP,Q5T1S8,Tdark,10837
NEUROD2,Q15784,Tbio,10839
NELL1,Q92832,Tbio,10863
NES,P48681,Tbio,10864
NTN3,O00634,Tdark,10865
MS4A7,Q9GZW8,Tdark,10882
MSMB,P08118,Tbio,10885
MSRB1,Q9NZV6,Tbio,10886
MT1DP,A1L3X4,Tdark,10887
MT1G,P13640,Tbio,10890
MTMR2,Q13614,Tbio,10901
SBF2,Q86WG5,Tbio,10905
MUC19,Q7Z5P9,Tbio,10917
MUC2,Q02817,Tbio,10920
MUC3B,Q9H195,Tdark,10922
MORC4,Q8TE76,Tdark,10931
MORN1,Q5T089,Tbio,10932
MORN2,Q502X0,Tdark,10933
MPC1,Q9Y5U8,Tbio,10940
MROH1,Q8NDA8,Tdark,10942
MTERF2,Q49AM1,Tbio,10955
MTMR6,Q9Y217,Tbio,10960
MTMR9,Q96QG7,Tbio,10961
MTUS2,Q5JR59,Tbio,10964
MUM1,Q2TAK8,Tdark,10971
MTMR10,Q9NXD2,Tdark,10985
MTMR11,A4FU01,Tdark,10986
MVD,P53602,Tchem,10991
MYH3,P11055,Tbio,10996
MYNN,Q9NPC7,Tbio,10999
MRM1,Q6IN84,Tbio,11026
,B2RBV5,Tdark,11029
NEUROD4,Q9HD90,Tbio,11043
NFE2L3,Q9Y4A8,Tbio,11068
NINL,Q9Y2I6,Tbio,11074
ZC3HC1,Q86WB0,Tbio,11077
KLRC4,O43908,Tbio,11081
NKX1-1,Q15270,Tdark,11084
NOMO2,Q5JPE7,Tbio,11098
ERVK-5,P61583,Tdark,11109
NPIPB9,F8W1W9,Tdark,11116
NIPSNAP3B,Q9BS92,Tbio,11119
SLC17A2,O00624,Tbio,11121
NAGA,P17050,Tbio,11124
NANOGP1,Q8N7R0,Tdark,11127
NANOS3,P60323,Tbio,11128
NBPF11,Q86T75,Tdark,11137
NBPF19,A0A087WUL8,Tdark,11138
NCDN,Q9UBB6,Tbio,11142
NCF1C,A8MVU1,Tdark,11143
NCKAP5,O14513,Tbio,11148
SLC24A5,Q71RS6,Tbio,11151
PPP1R9A,Q9ULJ8,Tbio,11169
NEMP2,A6NFY4,Tdark,11176
NFE2L1,Q14494,Tbio,11179
NICN1,Q9BSH3,Tdark,11187
NEMP1,O14524,Tdark,11212
CMAS,Q8NFW8,Tbio,11214
NKAP,Q8N5F7,Tbio,11219
NUTM2D,Q5VT03,Tdark,11260
NUTM2G,Q5VZR2,Tdark,11261
NCBP2-AS2,Q69YL0,Tdark,11267
NCOA4,Q13772,Tbio,11272
NFE4,Q86UQ8,Tbio,11274
NHEJ1,Q9H9Q4,Tbio,11288
NHLRC4,P0CG21,Tdark,11289
NIF3L1,Q9GZT8,Tbio,11295
C17orf75,Q9HAS0,Tbio,11299
NETO1,Q8TDF5,Tbio,11331
NFATC2IP,Q8NCF5,Tbio,11341
NFATC4,Q14934,Tbio,11345
NEFL,P07196,Tbio,11348
NHSL1,Q5SYE7,Tbio,11354
NOMO3,P69849,Tdark,11363
ERVK-24,P61581,Tdark,11368
NPIPA5,E9PKD4,Tdark,11372
FAM129C,Q86XR2,Tdark,11385
NKX2-6,A6NCS4,Tbio,11389
NAXD,Q8IW45,Tdark,11404
NOMO1,Q15155,Tbio,11410
NOTO,A8MTQ0,Tdark,11414
NOV,P48745,Tbio,11416
NPIPB13,A6NJU9,Tdark,11418
NPIPA8,E9PJI5,Tdark,11424
NPIPB7,O75200,Tdark,11426
NPY6R,Q99463,Tbio,11433
NTM-AS1,Q6ZSK4,Tdark,11439
NUTM2B,A6NNL0,Tdark,11444
NUTM2F,A1L443,Tdark,11445
OR10A6,Q8NH74,Tdark,11473
OR52E1,Q8NGJ3,Tdark,11499
OR5AC1,P0C628,Tdark,11500
NKAPD1,Q6ZUT1,Tdark,11505
NKX1-2,Q9UD57,Tdark,11510
NPIPB8,E9PQR5,Tdark,11541
NIPSNAP3A,Q9UFN0,Tdark,11544
NPVF,Q9HCQ7,Tdark,11549
NR2E3,Q9Y5X4,Tbio,11555
NIPAL4,Q0D2K0,Tbio,11570
NPCDR1,Q9BY65,Tdark,11599
NPIPA8,P0DM63,Tdark,11601
NPIPB3,Q92617,Tdark,11602
NRM,Q8IXM6,Tbio,11620
LEPROT,O15243,Tbio,11635
SLC25A21,Q9BQT8,Tbio,11638
OGFRL1,Q5TC84,Tchem,11643
PCOTH,Q58A44,Tdark,11714
CDKN2A-AS1,Q9UH64,Tdark,11715
NSUN5P2,Q63ZY6,Tdark,11717
NUTM2E,B1AL46,Tdark,11720
NXNL1,Q96CM4,Tbio,11735
OPA3,Q9H6K4,Tbio,11747
OLFML3,Q9NRN5,Tdark,11748
OLFML2A,Q68BL7,Tdark,11750
OVOS2,Q6IE36,Tdark,11770
PPIAL4A,Q9Y536,Tdark,11790
NSMCE4A,Q9NXX6,Tdark,11830
NSG2,Q9Y328,Tdark,11858
NUP188,Q5SRE5,Tbio,11871
OCEL1,Q9H607,Tdark,11887
MGEA5,O60502,Tchem,11895
NSG1,P42857,Tbio,11901
NSUN5P1,Q3KNT7,Tdark,11903
NXPH4,O95158,Tbio,11912
OR10AC1,Q8NH08,Tdark,11918
OR13C6P,Q8NH95,Tdark,11941
OR14L1P,Q8NHC6,Tdark,11944
OR2T11,Q8NH01,Tdark,11950
OR51B2,Q9Y5P1,Tdark,11960
OR51G1,Q8NGK1,Tdark,11963
OR52A4P,A6NMU1,Tdark,11965
OR52L2P,Q8NGH6,Tdark,11975
OR52P1P,Q8NH57,Tdark,11977
OR52R1,Q8NGF1,Tdark,11978
OCR1,Q9BZK8,Tdark,11997
ODF3B,A8MYP8,Tdark,12000
OPN1MW,P04001,Tbio,12007
OR1B1,Q8NGR6,Tdark,12011
OR2B8P,P59922,Tdark,12024
OR4A4P,Q8NGN8,Tdark,12038
OR4A8,P0C604,Tdark,12040
OR4M2,Q8NGB6,Tdark,12053
OR4Q2,P0C623,Tdark,12057
OR5D13,Q8NGL4,Tdark,12067
OR8B3,Q8NGG8,Tdark,12099
ORMDL1,Q9P0S3,Tdark,12107
POM121C,A8CG34,Tdark,12112
,A6NNC1,Tdark,12114
OAZ3,Q9UMX2,Tbio,12118
OGFOD2,Q6N063,Tdark,12121
OTOP2,Q7RTS6,Tdark,12139
PPP4R3A,Q6IN85,Tbio,12159
PADI3,Q9ULW8,Tchem,12172
OLIG3,Q7RTU3,Tbio,12178
OOSP2,Q86WS3,Tdark,12183
OR1E3,Q8WZA6,Tdark,12197
OR2I1P,Q8NGU4,Tdark,12208
OR2T7,P0C7T2,Tdark,12220
OR8J2,Q8NGG1,Tdark,12243
OR8S1,Q8NH09,Tdark,12247
OR9G9,P0C7N8,Tdark,12249
OSBPL9,Q96SU4,Tbio,12255
OSCP1,Q8WVF1,Tbio,12258
OTOP1,Q7RTM1,Tbio,12260
POM121,Q96HA1,Tbio,12271
OR10D4P,Q8NGN7,Tdark,12296
OR10J4,P0C629,Tdark,12306
OR13C2,Q8NGS9,Tdark,12315
OR13C7,P0DN81,Tdark,12316
OR52Z1,P0C646,Tdark,12355
OR8G2P,Q6IF36,Tdark,12364
OAF,Q86UD1,Tbio,12365
OGFR,Q9NZT2,Tbio,12378
OPLAH,O14841,Tdark,12379
OR1P1,Q8NH06,Tdark,12386
OR1S1,Q8NH92,Tdark,12387
OR2W6P,Q8NHA6,Tdark,12409
OR4E1,P0C645,Tdark,12419
OR4K3,Q96R72,Tdark,12425
OR8B4,Q96RC9,Tdark,12460
OR8D2,Q9GZM6,Tdark,12462
OR8K3,Q8NH51,Tdark,12465
OR8U8,P0C7N1,Tdark,12467
OR8U9,P0C7N5,Tdark,12468
OR9A1P,Q8NGU1,Tdark,12469
OMD,Q99983,Tbio,12491
OTUD7B,Q6GQQ9,Tbio,12508
PAGE5,Q96GU1,Tbio,12529
PPIAL4E,A0A075B759,Tdark,12536
PAPPA-AS1,Q5QFB9,Tdark,12540
PCDH20,Q8N6Y1,Tbio,12583
PCDHB16,Q9NRJ7,Tdark,12599
PCDHGB5,Q9Y5G0,Tdark,12610
PAGE2,Q7Z2X7,Tdark,12671
PPIAL4C,A0A0B4J2A2,Tdark,12721
PDXDC2P,Q6P474,Tdark,12750
PDZK1P1,A8MUH7,Tdark,12752
MIR7-3HG,Q8N6C7,Tdark,12794
PEX5,P50542,Tbio,12860
PIGY,Q3MUY2,Tdark,12874
PCGF2,P35227,Tbio,12899
LGALS13,Q9UHV8,Tbio,12979
PRB4,P10163,Tbio,13004
PRB1,P04280,Tdark,13025
PRR31,Q5SQ13,Tdark,13031
PMS2P5,A8MQ11,Tdark,13095
PNMA6F,A0A0J9YX94,Tdark,13096
POTEB3,Q6S5H4,Tbio,13112
LGALS14,Q8TCE9,Tdark,13121
PMS2P3,Q13401,Tdark,13163
ERVK-11,Q9UQG0,Tdark,13181
ERVK-6,Q9BXR3,Tdark,13184
PHF24,Q9UPV7,Tdark,13196
PLAC4,Q8WY50,Tdark,13214
PLGLA,Q15195,Tdark,13224
PIN1P1,O15428,Tdark,13251
ERVK-8,P63133,Tdark,13292
POMZP3,Q6PJE2,Tdark,13298
PIGBOS1,A0A0B4J2F0,Tdark,13351
PLEKHA8P1,O95397,Tdark,13364
PMS2P2,O95744,Tdark,13401
ERVK-19,Q9WJR5,Tdark,13417
ERVK-9,P63128,Tdark,13419
PRAMEF18,Q5VWM3,Tdark,13454
PRAMEF13,Q5VWM6,Tdark,13506
PRAMEF17,Q5VTA0,Tdark,13507
PRAMEF19,Q5SWL8,Tdark,13508
PROB1,E7EW31,Tdark,13531
PPP4R1L,Q9P1A2,Tdark,13542
PRSS29P,A6NIE9,Tdark,13556
PRSS47,A8MTI9,Tdark,13561
PREPL,Q4J6C6,Tchem,13570
PPHLN1,Q8NEY8,Tbio,13574
PRORY,Q9H606,Tdark,13584
PRR29,P0C7W0,Tdark,13593
PYDC2,Q56P42,Tbio,13632
PYY3,Q5JQD4,Tdark,13634
PTAR1,Q7Z6K3,Tdark,13659
PSMG4,Q5JS54,Tdark,13739
PSMG3,Q9BT73,Tchem,13808
PET100,P0DJ07,Tbio,13863
PRR23A,A6NEV1,Tdark,13896
PRAMEF26,H0Y7S4,Tdark,13900
PRAMEF27,A3QJZ7,Tdark,13901
PRAMEF33,A0A0G2JMD5,Tdark,13902
PROSER2,Q86WR7,Tdark,13933
RPL13AP3,Q6NVV1,Tdark,13960
PYY2,Q9NRI6,Tdark,14020
RBM15B,Q8NDT2,Tbio,14059
RABGAP1L,B7ZAP0,Tdark,14062
TAF15,Q92804,Tbio,14124
RBMY1B,A6NDE4,Tbio,14126
RDM1,Q8NG50,Tbio,14180
HERV-K104,P61576,Tdark,14181
ERVK-16,P61578,Tdark,14182
ERVK-19,P61572,Tdark,14183
ERVK-6,Q69383,Tbio,14249
RBM12B-AS1,Q9P1G2,Tdark,14359
RBMY1A1,P0DJD3,Tbio,14380
RBMY1C,P0DJD4,Tdark,14381
RBMY1E,A6NEQ0,Tdark,14382
RCC1L,Q96I51,Tdark,14386
RHPN1-AS1,Q9BWJ2,Tdark,14393
RIG,Q13278,Tdark,14564
RPLP0P6,Q8NHW5,Tdark,14599
,A6NIZ1,Tdark,14869
RP1L1,Q8IWN7,Tbio,14870
RPS4Y1,P22090,Tbio,14914
RPS26P11,Q5JNZ5,Tdark,14917
RPS4Y2,Q8TD47,Tdark,14940
RRP7BP,Q9NSQ0,Tdark,14958
RPS10P5,Q9NQ39,Tdark,14960
MRPS21,P82921,Tdark,15000
S100A7L2,Q5SY68,Tdark,15035
SLC25A53,Q5H9E4,Tdark,15042
SPATA31B1P,Q5VZV4,Tdark,15045
SPATA31D1,Q6ZQQ2,Tdark,15046
SAMD1,Q6SPF0,Tdark,15069
SPACA6,W5XKT8,Tdark,15096
SH2B2,O14492,Tbio,15137
SHANK2-AS3,Q9BTD1,Tdark,15141
SMIM11A,P58511,Tdark,15154
SIRPB1,O00241,Tbio,15175
SPATA31A3,Q5VYP0,Tdark,15206
SEC11B,P0C7V7,Tdark,15241
SEC22B,O75396,Tbio,15244
RSC1A1,Q92681,Tbio,15286
SPATA31D3,P0C874,Tdark,15348
